identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T16C3ESorcererDragon_1,1,food:0,1,,96871462,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1,4771336,food:3768,4.2,rage3,95,33643463,1,experience:0,236973600,
T16C3ESorcererDragon_2,2,food:999504,1,,99293234,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1,4890620,food:3786,4.2,rage3,96,34484548,1,experience:0,240208255,
T16C3ESorcererDragon_3,3,food:1004256,1,,101775552,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1,5012885,food:3804,4.2,rage3,96,40158296,1,experience:0,243461559,
T16C3ESorcererDragon_4,4,food:1009008,1,,104319925,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1,5138207,food:3822,4.2,rage3,97,47368586,1,experience:0,246733513,
T16C3ESorcererDragon_5,5,food:1013760,1,,106927901,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1,5266662,food:3840,4.2,rage3,97,54574551,1,experience:0,333365488,
T16C3ESorcererDragon_6,6,food:1018512,1,,109601078,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1,5398328,food:3858,4.2,rage3,98,61835937,1,experience:0,337777825,
T16C3ESorcererDragon_7,7,food:1023264,1,,112341086,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1,5533286,food:3876,4.2,rage3,98,63381833,1,experience:0,342215028,
T16C3ESorcererDragon_8,8,food:1028016,1,,115149596,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1,5671618,food:3894,4.2,rage3,99,64966377,1,experience:0,346677097,
T16C3ESorcererDragon_9,9,food:1032768,1,,118028320,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1,5813408,food:3912,4.2,rage3,99,66590536,1,experience:0,456513242,
T16C3ESorcererDragon_10,10,food:1037520,1,,120979012,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1,5958743,food:3930,4.2,rage3,100,68255298,1,experience:0,462378583,
T16C3ESorcererDragon_11,11,food:1042272,1,,124003469,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1,6107712,food:3948,4.2,rage3,100,69961680,1,experience:0,468276250,
T16C3ESorcererDragon_12,12,food:1047024,1,,127103532,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1,6260404,food:3966,4.2,rage3,101,71710720,1,experience:0,474206243,
T16C3ESorcererDragon_13,13,food:1051776,1,,130281098,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1,6416914,food:3984,4.2,rage3,101,73503486,1,experience:0,480168562,
T16C3ESorcererDragon_14,14,food:1056528,1,,133538106,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,6577337,food:4002,4.2,rage3,102,75341071,1,experience:0,486163206,
T16C3ESorcererDragon_15,15,food:1061280,1,,136876541,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,6741770,food:4020,4.2,rage3,102,77224595,1,experience:0,492190176,
T16C3ESorcererDragon_16,16,food:1066032,1,,140298434,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,6910314,food:4038,4.2,rage3,103,79155210,1,experience:0,498249473,
T16C3ESorcererDragon_17,17,food:1070784,1,,143805877,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,7083072,food:4056,4.2,rage3,103,81134090,1,experience:0,504341094,
T16C3ESorcererDragon_18,18,food:1075536,1,,147401008,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,7260149,food:4074,4.2,rage3,104,110456457,1,experience:0,510465042,
T16C3ESorcererDragon_19,19,food:1434840,1,,151086019,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,7441652,food:4092,4.2,rage3,104,113217869,1,experience:0,516621316,
T16C3ESorcererDragon_20,20,food:1441152,1,,154863150,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,7627693,food:4110,4.2,rage3,105,116048313,1,experience:0,522809915,
T16C3ESorcererDragon_21,21,food:1447464,1,,158734712,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,7818386,food:4128,4.2,rage3,105,118949518,1,experience:0,529030840,
T16C3ESorcererDragon_22,22,food:1453775,1,,162703061,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,8013845,food:4146,4.2,rage3,106,149122666,1,experience:0,535284091,
T16C3ESorcererDragon_23,23,food:1785812,1,,166770619,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,8214191,food:4164,4.2,rage3,106,152850732,1,experience:0,541569668,
T16C3ESorcererDragon_24,24,food:1793532,1,,170939866,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,8419546,food:4182,4.2,rage3,107,156671998,1,experience:0,547887570,
T16C3ESorcererDragon_25,25,food:1801251,1,,175213347,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,8630034,food:4200,4.2,rage3,107,160588797,1,experience:0,554237798,
T16C3ESorcererDragon_26,26,food:1808971,1,,179593665,17280,lockon:T16C3ESorcererDragon_lockon,dreadfulRoar:crystalize1|umbralSpike:fracture1|stealEssence:spellWeaving1|darkFlakResist01:darkFlakResist01,8845785,food:4218,4.2,rage3,108,192431478,1,experience:0,560620353,
