identifier,level,upgradeCost,upgradeTimeInSeconds,achievementRequirements,HP,fullHealDuration,attackType,abilities,attackPower,battleUseCost,forwardSpeed,spellRageIdentifier,requiredStableLevel,upgradeXP,xpRewardMultiplier,upgradeReward,powerLevel,h
String,Integer,String,Integer,Array<String>,Float,Integer,String,String,Float,Map<String:Integer>,Float,String,Integer,Integer,Float,String,Integer,String
T16C3FWarriorDragon_1,1,food:0,1,,125363068,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1,1136701,food:3768,4.2,rage2,95,33643463,1,experience:0,236973600,
T16C3FWarriorDragon_2,2,food:999504,1,,128497127,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1,1165119,food:3786,4.2,rage2,96,34484548,1,experience:0,240208255,
T16C3FWarriorDragon_3,3,food:1004256,1,,131709538,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1,1194246,food:3804,4.2,rage2,96,40158296,1,experience:0,243461559,
T16C3FWarriorDragon_4,4,food:1009008,1,,135002255,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1,1224103,food:3822,4.2,rage2,97,47368586,1,experience:0,246733513,
T16C3FWarriorDragon_5,5,food:1013760,1,,138377283,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1,1254705,food:3840,4.2,rage2,97,54574551,1,experience:0,333365488,
T16C3FWarriorDragon_6,6,food:1018512,1,,141836688,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1,1286073,food:3858,4.2,rage2,98,61835937,1,experience:0,337777825,
T16C3FWarriorDragon_7,7,food:1023264,1,,145382582,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1,1318224,food:3876,4.2,rage2,98,63381833,1,experience:0,342215028,
T16C3FWarriorDragon_8,8,food:1028016,1,,149017124,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1,1351180,food:3894,4.2,rage2,99,64966377,1,experience:0,346677097,
T16C3FWarriorDragon_9,9,food:1032768,1,,152742532,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1,1384959,food:3912,4.2,rage2,99,66590536,1,experience:0,456513242,
T16C3FWarriorDragon_10,10,food:1037520,1,,156561075,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1,1419583,food:3930,4.2,rage2,100,68255298,1,experience:0,462378583,
T16C3FWarriorDragon_11,11,food:1042272,1,,160475077,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1,1455073,food:3948,4.2,rage2,100,69961680,1,experience:0,468276250,
T16C3FWarriorDragon_12,12,food:1047024,1,,164486924,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1,1491450,food:3966,4.2,rage2,101,71710720,1,experience:0,474206243,
T16C3FWarriorDragon_13,13,food:1051776,1,,168599067,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1,1528736,food:3984,4.2,rage2,101,73503486,1,experience:0,480168562,
T16C3FWarriorDragon_14,14,food:1056528,1,,172814020,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1566954,food:4002,4.2,rage2,102,75341071,1,experience:0,486163206,
T16C3FWarriorDragon_15,15,food:1061280,1,,177134347,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1606128,food:4020,4.2,rage2,102,77224595,1,experience:0,492190176,
T16C3FWarriorDragon_16,16,food:1066032,1,,181562679,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1646281,food:4038,4.2,rage2,103,79155210,1,experience:0,498249473,
T16C3FWarriorDragon_17,17,food:1070784,1,,186101724,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1687438,food:4056,4.2,rage2,103,81134090,1,experience:0,504341094,
T16C3FWarriorDragon_18,18,food:1075536,1,,190754246,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1729624,food:4074,4.2,rage2,104,110456457,1,experience:0,510465042,
T16C3FWarriorDragon_19,19,food:1434840,1,,195523083,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1772865,food:4092,4.2,rage2,104,113217869,1,experience:0,516621316,
T16C3FWarriorDragon_20,20,food:1441152,1,,200411135,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1817186,food:4110,4.2,rage2,105,116048313,1,experience:0,522809915,
T16C3FWarriorDragon_21,21,food:1447464,1,,205421392,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1862616,food:4128,4.2,rage2,105,118949518,1,experience:0,529030840,
T16C3FWarriorDragon_22,22,food:1453775,1,,210556903,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1909181,food:4146,4.2,rage2,106,149122666,1,experience:0,535284091,
T16C3FWarriorDragon_23,23,food:1785812,1,,215820800,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,1956911,food:4164,4.2,rage2,106,152850732,1,experience:0,541569668,
T16C3FWarriorDragon_24,24,food:1793532,1,,221216297,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2005833,food:4182,4.2,rage2,107,156671998,1,experience:0,547887570,
T16C3FWarriorDragon_25,25,food:1801251,1,,226746684,17280,flamethrower:T16C3FWarriorDragon_flamethrower,shieldAssault:magmaticAssault1|fluxSpell:slagBlast1|dissipate:smokeScreen1|bloodFury:bloodFury1,2055979,food:4200,4.2,rage2,107,160588797,1,experience:0,554237798,
